source,target,timestamp,id,lang
朴益顺安,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 12, 7, 11, 46)]",['57873120'],zh
Patlabor Ingram,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 1, 10, 7, 35)]",['57635777'],zh
Njzjz,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 27, 22, 35)]",['57459047'],zh
No1lovesu,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 19, 18, 31), datetime.datetime(2019, 12, 19, 18, 25), datetime.datetime(2019, 10, 20, 18, 38), datetime.datetime(2019, 6, 4, 8, 10), datetime.datetime(2019, 6, 2, 14, 49), datetime.datetime(2019, 6, 2, 10, 12), datetime.datetime(2019, 6, 2, 8, 12), datetime.datetime(2019, 5, 23, 10, 52), datetime.datetime(2019, 5, 23, 10, 37), datetime.datetime(2018, 11, 20, 8, 16)]","['57327277', '57327252', '56553002', '54680786', '54660472', '54656808', '54655442', '54523601', '54523475', '52090994']",zh
Aronlee90,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 18, 8, 34), datetime.datetime(2019, 10, 3, 0, 42), datetime.datetime(2019, 10, 3, 0, 42), datetime.datetime(2019, 9, 25, 8, 47), datetime.datetime(2019, 9, 25, 3, 56), datetime.datetime(2019, 9, 24, 14, 9), datetime.datetime(2019, 9, 23, 3, 23), datetime.datetime(2018, 12, 11, 6, 30)]","['57307142', '56331546', '56331545', '56230066', '56227431', '56221797', '56203693', '52346413']",zh
蟲蟲飛,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 15, 0, 17), datetime.datetime(2019, 12, 15, 0, 17), datetime.datetime(2019, 12, 15, 0, 15), datetime.datetime(2019, 12, 15, 0, 14), datetime.datetime(2019, 12, 15, 0, 14), datetime.datetime(2019, 10, 28, 7, 34), datetime.datetime(2019, 10, 28, 7, 34)]","['57261301', '57261297', '57261287', '57261282', '57261281', '56652140', '56652130']",zh
Ericliu1912,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 8, 23, 57)]",['57181933'],zh
Sunny00217,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 8, 14, 4)]",['57178690'],zh
94rain,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 8, 3, 40), datetime.datetime(2019, 6, 3, 8, 56), datetime.datetime(2019, 1, 5, 1, 58), datetime.datetime(2019, 1, 3, 1, 53)]","['57172189', '54669018', '52656431', '52626412']",zh
炸裂香巴,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 5, 1, 51)]",['57134845'],zh
61.239.159.149,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 5, 1, 34), datetime.datetime(2019, 12, 5, 1, 6)]","['57134694', '57134508']",zh
LiamHuang,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 12, 3, 4, 44)]",['57112288'],zh
Longyiroyue,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 30, 19, 38), datetime.datetime(2019, 11, 30, 19, 27), datetime.datetime(2019, 11, 30, 19, 19)]","['57084118', '57084069', '57084042']",zh
Bagakuco,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 30, 19, 11), datetime.datetime(2019, 10, 20, 18, 2), datetime.datetime(2019, 4, 28, 14, 57), datetime.datetime(2019, 4, 28, 14, 46)]","['57084000', '56552805', '54206974', '54206813']",zh
103.135.101.62,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 30, 19, 9), datetime.datetime(2019, 11, 30, 19, 2)]","['57083993', '57083954']",zh
LIUs1812,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 26, 3, 56)]",['57023117'],zh
Kevin Smith Chen,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 25, 5, 59)]",['57010763'],zh
Tigerzeng,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 25, 4, 11)]",['57009557'],zh
176.122.156.153,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 25, 4, 7)]",['57009517'],zh
139.162.59.83,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 24, 6, 21), datetime.datetime(2019, 11, 24, 6, 14)]","['56998356', '56998277']",zh
47.56.192.93,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 12, 9)]",['56988296'],zh
Zhishengxia,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 9, 2), datetime.datetime(2019, 11, 21, 14, 15)]","['56986169', '56963040']",zh
122.121.54.31,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 6, 25), datetime.datetime(2019, 11, 23, 6, 21)]","['56984264', '56984229']",zh
218.250.110.181,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 6, 19)]",['56984209'],zh
TSN789,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 0, 47)]",['56981118'],zh
218.250.110.135,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 23, 0, 39)]",['56981054'],zh
CommonsDelinker,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 21, 3, 6), datetime.datetime(2019, 11, 21, 3, 6), datetime.datetime(2019, 11, 21, 3, 5)]","['56955863', '56955858', '56955854']",zh
SakuragawaSara,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 20, 13, 4)]",['56950721'],zh
Jimmyshjj,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 19, 4, 22), datetime.datetime(2019, 10, 16, 5, 7)]","['56930545', '56491992']",zh
172.104.172.235,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 19, 2, 20), datetime.datetime(2019, 11, 19, 2, 18), datetime.datetime(2019, 11, 19, 1, 59)]","['56929304', '56929271', '56929067']",zh
118.140.62.166,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 18, 9, 54)]",['56921868'],zh
Happykonger,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 17, 17, 55)]",['56914021'],zh
Hjh474,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 15, 9, 1)]",['56882694'],zh
203.186.25.38,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 15, 8, 47)]",['56882520'],zh
210.3.92.210,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 15, 6, 30)]",['56880929'],zh
Jimmy-bot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 11, 20, 21), datetime.datetime(2019, 9, 15, 11, 21), datetime.datetime(2019, 6, 14, 0, 21)]","['56839984', '56107638', '54811573']",zh
Sir Jorah Moment,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 11, 20, 1)]",['56839875'],zh
WhitePhosphorus-bot,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 11, 8, 20, 50), datetime.datetime(2019, 10, 29, 21, 10)]","['56799056', '56674803']",zh
Kelly Hwong,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 27, 6, 57)]",['56638154'],zh
158.182.31.248,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 27, 6, 31)]",['56637799'],zh
47.244.112.170,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 24, 5, 0)]",['56596670'],zh
221.126.237.230,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 23, 8, 41)]",['56585197'],zh
42.200.115.128,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 20, 18, 3), datetime.datetime(2019, 10, 20, 18, 1)]","['56552817', '56552800']",zh
BakaChinatsu,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 20, 10, 51)]",['56547229'],zh
173.255.253.109,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 20, 10, 50)]",['56547220'],zh
波斯波莉斯,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 17, 1, 10)]",['56502202'],zh
118.140.135.14,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 16, 5, 0)]",['56491932'],zh
Leolokey,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 15, 18, 8), datetime.datetime(2019, 9, 29, 13, 28)]","['56488814', '56288285']",zh
2a02:8108:97c0:168:4425:203a:4b59:d199,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 15, 15, 8), datetime.datetime(2019, 10, 15, 13, 36)]","['56487324', '56486152']",zh
103.102.7.41,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 14, 5, 19)]",['56469472'],zh
219.76.26.41,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 13, 7, 0)]",['56458558'],zh
Ntuccy,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 12, 3, 42)]",['56442543'],zh
130.102.13.7,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 12, 2, 42), datetime.datetime(2019, 10, 12, 2, 41)]","['56442017', '56442004']",zh
153.120.51.24,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 10, 9, 32)]",['56421634'],zh
Rhxrhhrbhhrbx,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 8, 3, 40)]",['56394620'],zh
Hhsj,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 7, 12, 0), datetime.datetime(2019, 9, 28, 17, 3)]","['56388540', '56275010']",zh
刘予安,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 7, 11, 31)]",['56388218'],zh
2001:b400:e302:9e28:a990:c414:e76a:a044,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 6, 9, 46), datetime.datetime(2019, 10, 6, 9, 45)]","['56375166', '56375158']",zh
123.192.105.251,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 4, 20, 5)]",['56355524'],zh
张传民,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 10, 4, 4, 6)]",['56346803'],zh
2001:b011:7001:152a:f125:c7ab:1b2e:f26e,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 30, 9, 35)]",['56299557'],zh
43.229.28.104,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 29, 13, 28)]",['56288274'],zh
134.71.249.201,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 27, 9, 43), datetime.datetime(2019, 9, 27, 9, 41)]","['56254173', '56254162']",zh
Lifeingenso,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 22, 1, 17), datetime.datetime(2019, 6, 6, 1, 47), datetime.datetime(2019, 1, 31, 0, 58)]","['56190524', '54703179', '53005985']",zh
百战天虫,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 21, 10, 6), datetime.datetime(2019, 6, 21, 15, 21), datetime.datetime(2019, 2, 3, 16, 9)]","['56183477', '54908516', '53057293']",zh
脂肪酸钠,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 21, 4, 18)]",['56179871'],zh
203.223.18.15,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 20, 4, 46)]",['56166736'],zh
嘉傑,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 9, 13, 14, 30), datetime.datetime(2019, 8, 13, 8, 0), datetime.datetime(2019, 5, 26, 6, 30), datetime.datetime(2019, 5, 26, 6, 0), datetime.datetime(2019, 5, 26, 5, 30), datetime.datetime(2019, 5, 16, 9, 0), datetime.datetime(2019, 5, 4, 8, 0), datetime.datetime(2019, 5, 4, 7, 30), datetime.datetime(2019, 5, 4, 7, 0)]","['56082259', '55632805', '54559083', '54558786', '54558388', '54437495', '54281596', '54281260', '54280964']",zh
林劲松,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2019, 8, 28, 19, 3), datetime.datetime(2019, 7, 31, 14, 10), datetime.datetime(2019, 7, 31, 14, 8), datetime.datetime(2019, 7, 31, 14, 6), datetime.datetime(2019, 7, 30, 23, 12), datetime.datetime(2019, 7, 30, 23, 8), datetime.datetime(2019, 7, 30, 23, 7), datetime.datetime(2019, 7, 30, 18, 39), datetime.datetime(2019, 7, 29, 12, 29), datetime.datetime(2019, 7, 29, 4, 33)]","['55869725', '55457554', '55457535', '55457515', '55446679', '55446667', '55446665', '55446089', '55423936', '55417931']",zh
