id,lang,type
Triggerhippie4,"{'en': 43, 'zh': 16}",user
Kku,"{'en': 85, 'zh': 0}",user
Tuanminh01,"{'en': 61, 'zh': 8}",user
Lawrencekhoo,"{'en': 76, 'zh': 0}",user
Peter Kaminski,"{'en': 1, 'zh': 0}",user
TerryForTibet,"{'en': 23, 'zh': 0}",user
Laszlo Panaflex,"{'en': 1, 'zh': 0}",user
Ddddbbbb,"{'en': 77, 'zh': 0}",user
"Careful With That Axe, Eugene","{'en': 1, 'zh': 0}",user
Ashmoo,"{'en': 47, 'zh': 0}",user
HansJohan808,"{'en': 32, 'zh': 0}",user
LachlanA,"{'en': 75, 'zh': 0}",user
Froglich,"{'en': 62, 'zh': 0}",user
Srich32977,"{'en': 40, 'zh': 0}",user
94rain,"{'en': 67, 'zh': 101}",user
Thunderforge,"{'en': 48, 'zh': 0}",user
Dabby12,"{'en': 26, 'zh': 1}",user
Ihardlythinkso,"{'en': 23, 'zh': 1}",user
Wallacoloo,"{'en': 72, 'zh': 0}",user
Susmuffin,"{'en': 54, 'zh': 0}",user
Praemonitus,"{'en': 36, 'zh': 0}",user
Jonathunder,"{'en': 72, 'zh': 27}",user
ReyHahn,"{'en': 23, 'zh': 0}",user
Javert2113,"{'en': 78, 'zh': 0}",user
2605:e000:1303:4e96:5567:6487:b514:c6de,"{'en': 1, 'zh': 0}",user
118.201.50.146,"{'en': 2, 'zh': 0}",user
Torntissuebox,"{'en': 4, 'zh': 0}",user
Imaskar,"{'en': 2, 'zh': 0}",user
2607:fcc8:a0ce:ba00:a952:a2ce:9191:bf1f,"{'en': 1, 'zh': 0}",user
46.26.130.160,"{'en': 1, 'zh': 0}",user
EmperorAzazel,"{'en': 1, 'zh': 0}",user
213.233.149.11,"{'en': 36, 'zh': 0}",user
216.162.20.193,"{'en': 54, 'zh': 0}",user
JJMC89,"{'en': 101, 'zh': 9}",user
Materialscientist,"{'en': 95, 'zh': 96}",user
Maxfullhigh,"{'en': 40, 'zh': 1}",user
203.186.92.27,"{'en': 5, 'zh': 6}",user
MusikBot,"{'en': 66, 'zh': 0}",user
Jogarz1921,"{'en': 60, 'zh': 0}",user
Happychickeman,"{'en': 15, 'zh': 0}",user
Trappist the monk,"{'en': 2, 'zh': 0}",user
Koavf,"{'en': 55, 'zh': 54}",user
CAN-YEG-MAN,"{'en': 26, 'zh': 0}",user
Rkjon,"{'en': 15, 'zh': 0}",user
YouTable,"{'en': 8, 'zh': 37}",user
Narky Blert,"{'en': 1, 'zh': 0}",user
AManWithNoPlan,"{'en': 18, 'zh': 0}",user
Deepfriedokra,"{'en': 48, 'zh': 0}",user
Chewings72,"{'en': 89, 'zh': 0}",user
77.251.174.211,"{'en': 9, 'zh': 0}",user
Speedyplane2247-M,"{'en': 3, 'zh': 0}",user
89.197.68.205,"{'en': 24, 'zh': 0}",user
MoofEMP,"{'en': 38, 'zh': 0}",user
173.153.148.121,"{'en': 1, 'zh': 0}",user
157.131.93.12,"{'en': 1, 'zh': 0}",user
Oofta,"{'en': 2, 'zh': 0}",user
74.139.102.34,"{'en': 2, 'zh': 0}",user
Markhannelly,"{'en': 2, 'zh': 0}",user
Bruhmoment42069,"{'en': 1, 'zh': 0}",user
Path slopu,"{'en': 1, 'zh': 0}",user
Bruh12564,"{'en': 1, 'zh': 0}",user
FrescoBot,"{'en': 98, 'zh': 1}",user
Deor,"{'en': 80, 'zh': 1}",user
2601:145:600:4240:8503:93f3:49:752b,"{'en': 1, 'zh': 0}",user
Richard-of-Earth,"{'en': 61, 'zh': 0}",user
Lydddnickkk,"{'en': 18, 'zh': 32}",user
Steeve815,"{'en': 92, 'zh': 0}",user
Poopynibba,"{'en': 1, 'zh': 0}",user
153.219.11.182,"{'en': 1, 'zh': 0}",user
83.28.193.229,"{'en': 2, 'zh': 0}",user
Second Skin,"{'en': 1, 'zh': 0}",user
171.60.148.242,"{'en': 1, 'zh': 0}",user
Goodboijpeg,"{'en': 7, 'zh': 0}",user
143.50.186.71,"{'en': 1, 'zh': 0}",user
116.77.73.255,"{'en': 1, 'zh': 0}",user
Hong Kong,{'en': 1},article
OAbot,"{'en': 101, 'zh': 0}",user
AnomieBOT,"{'en': 94, 'zh': 0}",user
Lentower,"{'en': 33, 'zh': 0}",user
Deipnosophista,"{'en': 58, 'zh': 0}",user
MarkH21,"{'en': 40, 'zh': 1}",user
Sir Aman Gulati,"{'en': 1, 'zh': 0}",user
Felixishim,"{'en': 23, 'zh': 31}",user
Taekhosong,"{'en': 60, 'zh': 62}",user
Knight of Gloucestershire,"{'en': 1, 'zh': 0}",user
Jackiechanbruceleekungfu,"{'en': 38, 'zh': 0}",user
MrHistorianDude,"{'en': 73, 'zh': 0}",user
Q. Northropi,"{'en': 1, 'zh': 0}",user
Feinoa,"{'en': 40, 'zh': 0}",user
Sun8908,"{'en': 13, 'zh': 74}",user
Interinter321,"{'en': 24, 'zh': 38}",user
Geographyinitiative,"{'en': 27, 'zh': 56}",user
BladeRunner2077,"{'en': 32, 'zh': 34}",user
Bluesatellite,"{'en': 65, 'zh': 1}",user
A smart brainy man,"{'en': 1, 'zh': 0}",user
TravisGTAGamer,"{'en': 74, 'zh': 0}",user
Rjensen,"{'en': 25, 'zh': 0}",user
Peter1170,"{'en': 15, 'zh': 2}",user
LivinAWestLife,"{'en': 69, 'zh': 3}",user
Doanri,"{'en': 70, 'zh': 5}",user
LegioV,"{'en': 80, 'zh': 0}",user
Yeungkahchun,"{'en': 35, 'zh': 3}",user
Lysimachi,"{'en': 43, 'zh': 75}",user
Josqu,"{'en': 65, 'zh': 0}",user
Horserice,"{'en': 17, 'zh': 0}",user
KConWiki,"{'en': 29, 'zh': 0}",user
Reenem,"{'en': 47, 'zh': 0}",user
Dawnseeker2000,"{'en': 93, 'zh': 0}",user
